
--- BIOS Attributes ---

('AcPwrRcvry', 'Last')
('HttpDev4VlanEnDis', 'Disabled')
('HttpDev4VlanId', 1)
('HttpDev4VlanPriority', 0)
('InBandManageabilityInterface', 'Enabled')
('IntelSgx', 'Off')
('IntelTxt', 'Off')
('IoatEngine', 'Disabled')
('IscsiDev1Con1Auth', 'None')
('IscsiDev1Con1ChapName', '')
('IscsiDev1Con1ChapSecret', '')
('IscsiDev1Con1ChapType', 'OneWay')
('IscsiDev1Con1DhcpEnDis', 'Disabled')
('IscsiDev1Con1EnDis', 'Disabled')
('IscsiDev1Con1Gateway', '')
('IscsiDev1Con1Interface', 'NIC.Embedded.1-1-1')
('IscsiDev1Con1Ip', '')
('IscsiDev1Con1IsId', '')
('IscsiDev1Con1Lun', '0')
('IscsiDev1Con1Mask', '')
('IscsiDev1Con1Port', 3260)
('IscsiDev1Con1Protocol', 'IPv4')
('IscsiDev1Con1Retry', 3)
('IscsiDev1Con1RevChapName', '')
('IscsiDev1Con1RevChapSecret', '')
('IscsiDev1Con1TargetIp', '')
('IscsiDev1Con1TargetName', '')
('IscsiDev1Con1TgtDhcpEnDis', 'Disabled')
('IscsiDev1Con1Timeout', 10000)
('IscsiDev1Con1VlanEnDis', 'Disabled')
('IscsiDev1Con1VlanId', 1)
('IscsiDev1Con1VlanPriority', 0)
('IscsiDev1Con2Auth', 'None')
('IscsiDev1Con2ChapName', '')
('IscsiDev1Con2ChapSecret', '')
('IscsiDev1Con2ChapType', 'OneWay')
('IscsiDev1Con2DhcpEnDis', 'Disabled')
('IscsiDev1Con2EnDis', 'Disabled')
('IscsiDev1Con2Gateway', '')
('IscsiDev1Con2Interface', 'NIC.Embedded.1-1-1')
('IscsiDev1Con2Ip', '')
('IscsiDev1Con2IsId', '')
('IscsiDev1Con2Lun', '0')
('IscsiDev1Con2Mask', '')
('IscsiDev1Con2Port', 3260)
('IscsiDev1Con2Protocol', 'IPv4')
('IscsiDev1Con2Retry', 3)
('IscsiDev1Con2RevChapName', '')
('IscsiDev1Con2RevChapSecret', '')
('IscsiDev1Con2TargetIp', '')
('IscsiDev1Con2TargetName', '')
('IscsiDev1Con2TgtDhcpEnDis', 'Disabled')
('IscsiDev1Con2Timeout', 10000)
('IscsiDev1Con2VlanEnDis', 'Disabled')
('IscsiDev1Con2VlanId', 1)
('IscsiDev1Con2VlanPriority', 0)
('IscsiDev1ConOrder', 'Con1Con2')
('IscsiDev1EnDis', 'Disabled')
('IscsiInitiatorName', '')
('KernelDmaProtection', 'Disabled')
('LlcPrefetch', 'Enabled')
('LmceEn', 'Enabled')
('LogicalProc', 'Enabled')
('MadtCoreEnumeration', 'RoundRobin')
('MemFrequency', 'MaxPerf')
('MemOpMode', 'OptimizerMode')
('MemPatrolScrub', 'Standard')
('MemRefreshRate', '1x')
('MemTest', 'Disabled')
('MemoryEncryption', 'Disabled')
('MemoryTraining', 'MemoryTrainingFast')
('MonitorMwait', 'Enabled')
('NodeInterleave', 'Disabled')
('NumLock', 'On')
('NumberOfPxeDevices', '4')
('NvmeMode', 'NonRaid')
('NvmeofEnDis', 'Disabled')
('NvmeofHostId', '4C4C4544-0050-3010-8030-C3C04F353038')
('NvmeofHostNqn', 'nqn.1988-11.com.dell:PowerEdge.R760.CP00508')
('NvmeofHostSecurityPath', '')
('NvmeofSubsys1Address', '')
('NvmeofSubsys1Auth', 'None')
('NvmeofSubsys1ConInterface', 'NIC.Embedded.1-1-1')
('NvmeofSubsys1ConProtocol', 'IPv4')
('NvmeofSubsys1ControllerId', 0)
('NvmeofSubsys1EnDis', 'Disabled')
('NvmeofSubsys1HostDhcp', 'Disabled')
('NvmeofSubsys1HostGateway', '')
('NvmeofSubsys1HostIP', '')
('NvmeofSubsys1HostMask', '')
('NvmeofSubsys1InfoDhcp', 'Disabled')
('NvmeofSubsys1NameSpaceId', '')
('NvmeofSubsys1Nqn', '')
('NvmeofSubsys1Port', 4420)
('NvmeofSubsys1Retry', 3)
('NvmeofSubsys1Security', 'Disabled')
('NvmeofSubsys1SecurityKeyPath', '')
('NvmeofSubsys1Timeout', 10000)
('NvmeofSubsys1TransType', 'TCP')
('NvmeofSubsys1VlanEnDis', 'Disabled')
('NvmeofSubsys1VlanId', 1)
('NvmeofSubsys1VlanPriority', 0)
('NvmeofSubsys2Address', '')
('NvmeofSubsys2Auth', 'None')
('NvmeofSubsys2ConInterface', 'NIC.Embedded.1-1-1')
('NvmeofSubsys2ConProtocol', 'IPv4')
('NvmeofSubsys2ControllerId', 0)
('NvmeofSubsys2EnDis', 'Disabled')
('NvmeofSubsys2HostDhcp', 'Disabled')
('NvmeofSubsys2HostGateway', '')
('NvmeofSubsys2HostIP', '')
('NvmeofSubsys2HostMask', '')
('NvmeofSubsys2InfoDhcp', 'Disabled')
('NvmeofSubsys2NameSpaceId', '')
('NvmeofSubsys2Nqn', '')
('NvmeofSubsys2Port', 4420)
('NvmeofSubsys2Retry', 3)
('NvmeofSubsys2Security', 'Disabled')
('NvmeofSubsys2SecurityKeyPath', '')
('NvmeofSubsys2Timeout', 10000)
('NvmeofSubsys2TransType', 'TCP')
('NvmeofSubsys2VlanEnDis', 'Disabled')
('NvmeofSubsys2VlanId', 1)
('NvmeofSubsys2VlanPriority', 0)
('NvmeofSubsys3Address', '')
('NvmeofSubsys3Auth', 'None')
('NvmeofSubsys3ConInterface', 'NIC.Embedded.1-1-1')
('NvmeofSubsys3ConProtocol', 'IPv4')
('NvmeofSubsys3ControllerId', 0)
('NvmeofSubsys3EnDis', 'Disabled')
('NvmeofSubsys3HostDhcp', 'Disabled')
('NvmeofSubsys3HostGateway', '')
('NvmeofSubsys3HostIP', '')
('NvmeofSubsys3HostMask', '')
('NvmeofSubsys3InfoDhcp', 'Disabled')
('NvmeofSubsys3NameSpaceId', '')
('NvmeofSubsys3Nqn', '')
('NvmeofSubsys3Port', 4420)
('NvmeofSubsys3Retry', 3)
('NvmeofSubsys3Security', 'Disabled')
('NvmeofSubsys3SecurityKeyPath', '')
('NvmeofSubsys3Timeout', 10000)
('NvmeofSubsys3TransType', 'TCP')
('NvmeofSubsys3VlanEnDis', 'Disabled')
('NvmeofSubsys3VlanId', 1)
('NvmeofSubsys3VlanPriority', 0)
('NvmeofSubsys4Address', '')
('NvmeofSubsys4Auth', 'None')
('NvmeofSubsys4ConInterface', 'NIC.Embedded.1-1-1')
('NvmeofSubsys4ConProtocol', 'IPv4')
('NvmeofSubsys4ControllerId', 0)
('NvmeofSubsys4EnDis', 'Disabled')
('NvmeofSubsys4HostDhcp', 'Disabled')
('NvmeofSubsys4HostGateway', '')
('NvmeofSubsys4HostIP', '')
('NvmeofSubsys4HostMask', '')
('NvmeofSubsys4InfoDhcp', 'Disabled')
('NvmeofSubsys4NameSpaceId', '')
('NvmeofSubsys4Nqn', '')
('NvmeofSubsys4Port', 4420)
('NvmeofSubsys4Retry', 3)
('NvmeofSubsys4Security', 'Disabled')
('NvmeofSubsys4SecurityKeyPath', '')
('NvmeofSubsys4Timeout', 10000)
('NvmeofSubsys4TransType', 'TCP')
('NvmeofSubsys4VlanEnDis', 'Disabled')
('NvmeofSubsys4VlanId', 1)
('NvmeofSubsys4VlanPriority', 0)
('OneTimeBootMode', 'Disabled')
('OneTimeUefiBootSeqDev', 'RAID.SL.3-2')
('OptimizerMode', 'Auto')
('OsWatchdogTimer', 'Disabled')
('PCIRootDeviceUnhide', 'Disabled')
('PPROnUCE', 'Enabled')
('PasswordStatus', 'Unlocked')
('PcieAspmL1', 'Disabled')
('PowerCycleRequest', 'None')
('Proc1Brand', 'Intel(R) Xeon(R) Platinum 8452Y')
('Proc1Id', '6-8F-6')
('Proc1L2Cache', '36x2 MB')
('Proc1L3Cache', '69120 KB')
('Proc1Microcode', '0x2B0001B0')
('Proc1NumCores', 36)
('ProcAdjCacheLine', 'Enabled')
('ProcAmpPrefetch', 'Disabled')
('ProcAvxP1', 'Normal')
('ProcC1E', 'Disabled')
('ProcCStates', 'Disabled')
('ProcCoreSpeed', '2.00 GHz')
('ProcCores', 'All')
('ProcHomelessPrefetch', 'Auto')
('ProcHwPrefetcher', 'Disabled')
('ProcIssSetting', 'IssOp1')
('ProcPwrPerf', 'MaxPerf')
('ProcTurboMode', 'Enabled')
('ProcUncoreFreqRapl', 'Enabled')
('ProcVirtualization', 'Enabled')
('ProcX2Apic', 'Enabled')
('ProcessorActivePbf', 'Disabled')
('ProcessorSstCpSetting', 'Disabled')
('PwrButton', 'Enabled')
('PxeDev10Interface', 'NIC.Embedded.1-1-1')
('PxeDev10Protocol', 'IPv4')
('PxeDev10VlanEnDis', 'Disabled')
('PxeDev10VlanId', 1)
('PxeDev10VlanPriority', 0)
('PxeDev11Interface', 'NIC.Embedded.1-1-1')
('PxeDev11Protocol', 'IPv4')
('PxeDev11VlanEnDis', 'Disabled')
('PxeDev11VlanId', 1)
('PxeDev11VlanPriority', 0)
('PxeDev12Interface', 'NIC.Embedded.1-1-1')
('PxeDev12Protocol', 'IPv4')
('PxeDev12VlanEnDis', 'Disabled')
('PxeDev12VlanId', 1)
('PxeDev12VlanPriority', 0)
('PxeDev13Interface', 'NIC.Embedded.1-1-1')
('PxeDev13Protocol', 'IPv4')
('PxeDev13VlanEnDis', 'Disabled')
('PxeDev13VlanId', 1)
('PxeDev13VlanPriority', 0)
('PxeDev14Interface', 'NIC.Embedded.1-1-1')
('PxeDev14Protocol', 'IPv4')
('PxeDev14VlanEnDis', 'Disabled')
('PxeDev14VlanId', 1)
('PxeDev14VlanPriority', 0)
('PxeDev15Interface', 'NIC.Embedded.1-1-1')
('PxeDev15Protocol', 'IPv4')
('PxeDev15VlanEnDis', 'Disabled')
('PxeDev15VlanId', 1)
('PxeDev15VlanPriority', 0)
('PxeDev16Interface', 'NIC.Embedded.1-1-1')
('PxeDev16Protocol', 'IPv4')
('PxeDev16VlanEnDis', 'Disabled')
('PxeDev16VlanId', 1)
('PxeDev16VlanPriority', 0)
('PxeDev1EnDis', 'Enabled')
('PxeDev1Interface', 'NIC.Embedded.1-1-1')
('PxeDev1Protocol', 'IPv4')
('PxeDev1VlanEnDis', 'Disabled')
('PxeDev1VlanId', 1)
('PxeDev1VlanPriority', 0)
('PxeDev2EnDis', 'Disabled')
('PxeDev2Interface', 'NIC.Embedded.1-1-1')
('PxeDev2Protocol', 'IPv4')
('PxeDev2VlanEnDis', 'Disabled')
('PxeDev2VlanId', 1)
('PxeDev2VlanPriority', 0)
('PxeDev3EnDis', 'Disabled')
('PxeDev3Interface', 'NIC.Embedded.1-1-1')
('PxeDev3Protocol', 'IPv4')
('PxeDev3VlanEnDis', 'Disabled')
('PxeDev3VlanId', 1)
('PxeDev3VlanPriority', 0)
('PxeDev4EnDis', 'Disabled')
('PxeDev4Interface', 'NIC.Embedded.1-1-1')
('PxeDev4Protocol', 'IPv4')
('PxeDev4VlanEnDis', 'Disabled')
('PxeDev4VlanId', 1)
('PxeDev4VlanPriority', 0)
('PxeDev5Interface', 'NIC.Embedded.1-1-1')
('PxeDev5Protocol', 'IPv4')
('PxeDev5VlanEnDis', 'Disabled')
('PxeDev5VlanId', 1)
('PxeDev5VlanPriority', 0)
('PxeDev6Interface', 'NIC.Embedded.1-1-1')
('PxeDev6Protocol', 'IPv4')
('PxeDev6VlanEnDis', 'Disabled')
('PxeDev6VlanId', 1)
('PxeDev6VlanPriority', 0)
('PxeDev7Interface', 'NIC.Embedded.1-1-1')
('PxeDev7Protocol', 'IPv4')
('PxeDev7VlanEnDis', 'Disabled')
('PxeDev7VlanId', 1)
('PxeDev7VlanPriority', 0)
('PxeDev8Interface', 'NIC.Embedded.1-1-1')
('PxeDev8Protocol', 'IPv4')
('PxeDev8VlanEnDis', 'Disabled')
('PxeDev8VlanId', 1)
('PxeDev8VlanPriority', 0)
('PxeDev9Interface', 'NIC.Embedded.1-1-1')
('PxeDev9Protocol', 'IPv4')
('PxeDev9VlanEnDis', 'Disabled')
('PxeDev9VlanId', 1)
('PxeDev9VlanPriority', 0)
('RedirAfterBoot', 'Enabled')
('RedundantOsBoot', 'Disabled')
('RedundantOsLocation', 'None')
('RedundantOsState', 'Visible')
('SHA256SetupPassword', '')
('SHA256SetupPasswordSalt', '')
('SHA256SystemPassword', '')
('SHA256SystemPasswordSalt', '')
('SataPortA', 'Auto')
('SataPortACapacity', 'N/A')
('SataPortADriveType', 'Unknown Device')
('SataPortAModel', 'Unknown')
('SataPortB', 'Auto')
('SataPortBCapacity', 'N/A')
('SataPortBDriveType', 'Unknown Device')
('SataPortBModel', 'Unknown')
('SataPortC', 'Auto')
('SataPortCCapacity', 'N/A')
('SataPortCDriveType', 'Unknown Device')
('SataPortCModel', 'Unknown')
('SataPortD', 'Auto')
('SataPortDCapacity', 'N/A')
('SataPortDDriveType', 'Unknown Device')
('SataPortDModel', 'Unknown')
('SataPortE', 'Auto')
('SataPortECapacity', 'N/A')
('SataPortEDriveType', 'Unknown Device')
('SataPortEModel', 'Unknown')
('SataPortF', 'Auto')
('SataPortFCapacity', 'N/A')
('SataPortFDriveType', 'Unknown Device')
('SataPortFModel', 'Unknown')
('SataPortG', 'Auto')
('SataPortGCapacity', 'N/A')
('SataPortGDriveType', 'Unknown Device')
('SataPortGModel', 'Unknown')
('SataPortH', 'Auto')
('SataPortHCapacity', 'N/A')
('SataPortHDriveType', 'Unknown Device')
('SataPortHModel', 'Unknown')
('SecureBoot', 'Disabled')
('SecureBootMode', 'DeployedMode')
('SecureBootPolicy', 'Standard')
('SecurityFreezeLock', 'Enabled')
('SerialComm', 'OnNoConRedir')
('SerialPortAddress', 'Com1')
('SetBootOrderDis', '')
('SetBootOrderDis2', '')
('SetBootOrderEn', 'RAID.SL.3-2,NIC.PxeDevice.1-1')
('SetBootOrderEn2', '')
('SetBootOrderFqdd1', '')
('SetBootOrderFqdd10', '')
('SetBootOrderFqdd11', '')
('SetBootOrderFqdd12', '')
('SetBootOrderFqdd13', '')
('SetBootOrderFqdd14', '')
('SetBootOrderFqdd15', '')
('SetBootOrderFqdd16', '')
('SetBootOrderFqdd2', '')
('SetBootOrderFqdd3', '')
('SetBootOrderFqdd4', '')
('SetBootOrderFqdd5', '')
('SetBootOrderFqdd6', '')
('SetBootOrderFqdd7', '')
('SetBootOrderFqdd8', '')
('SetBootOrderFqdd9', '')
('SetLegacyHddOrderFqdd1', '')
('SetLegacyHddOrderFqdd10', '')
('SetLegacyHddOrderFqdd11', '')
('SetLegacyHddOrderFqdd12', '')
('SetLegacyHddOrderFqdd13', '')
('SetLegacyHddOrderFqdd14', '')
('SetLegacyHddOrderFqdd15', '')
('SetLegacyHddOrderFqdd16', '')
('SetLegacyHddOrderFqdd2', '')
('SetLegacyHddOrderFqdd3', '')
('SetLegacyHddOrderFqdd4', '')
('SetLegacyHddOrderFqdd5', '')
('SetLegacyHddOrderFqdd6', '')
('SetLegacyHddOrderFqdd7', '')
('SetLegacyHddOrderFqdd8', '')
('SetLegacyHddOrderFqdd9', '')
('SetupPassword', None)
('SmmSecurityMitigation', 'Disabled')
('SnoopHldOff', 'Roll2KCycles')
('SriovGlobalEnable', 'Disabled')
('SubNumaCluster', 'Disabled')
('SysMemSize', '16 GB')
('SysMemSpeed', '4800 MT/s')
('SysMemType', 'ECC DDR5')
('SysMfrContactInfo', 'www.dell.com')
('SysPassword', None)
('SysPrepClean', 'None')
('SysProfile', 'PerfOptimized')
('SystemBiosVersion', '1.3.2')
('SystemCpldVersion', '1.0.5')
('SystemManufacturer', 'Dell Inc.')
('SystemMeVersion', '6.0.4.33')
('SystemModelName', 'PowerEdge R760')
('SystemServiceTag', 'CP00508')
('TimeZone', 'LOCAL')
('TpmInfo', 'No TPM present')
('TpmPpiBypassClear', 'Disabled')
('TpmPpiBypassProvision', 'Disabled')
('UefiComplianceVersion', '2.7')
('UefiVariableAccess', 'Standard')
('UmaBasedClusteringStatus', 'Quadrant')
('UncoreFrequency', 'MaxUFS')
('UpiPrefetch', 'Enabled')
('UsbManagedPort', 'On')
('UsbPorts', 'AllOn')
('VideoMem', '16 MB')
('WorkloadProfile', 'NotConfigured')
('WriteCache', 'Disabled')
('XptPrefetch', 'Enabled')

- Attributes are also captured in "bios_attributes.txt" file
